miRNA	precursor
miR-520b-3p	mir-520b
miR-526a-5p	mir-526a-2,mir-526a-1
miR-526a-3p	mir-526a-1
miR-520c-5p	mir-520c
miR-520c-3p	mir-520c
miR-518c-5p	mir-518c
miR-518c-3p	mir-518c
miR-524-5p	mir-524
miR-524-3p	mir-524
miR-517-5p	mir-517a,mir-517c,mir-517b
miR-517a-3p	mir-517a
miR-519d-5p	mir-519d
miR-519d-3p	mir-519d
miR-520d-5p	mir-520d
miR-520d-3p	mir-520d
miR-517b-3p	mir-517b
miR-520g-5p	mir-520g
miR-520g-3p	mir-520g
miR-516b-5p	mir-516b-1,mir-516b-2
miR-516b-3p	mir-516b-1,mir-516b-2
miR-518e-5p	mir-518e
miR-518e-3p	mir-518e
miR-518a-5p	mir-518a-1,mir-518a-2
miR-518a-3p	mir-518a-1,mir-518a-2
miR-518d-5p	mir-518d
miR-518d-3p	mir-518d
miR-517c-3p	mir-517c
miR-522-5p	mir-522
miR-522-3p	mir-522
miR-519a-5p	mir-519a-1
miR-519a-3p	mir-519a-2,mir-519a-1
miR-516a-5p	mir-516a-2,mir-516a-1
miR-516a-3p	mir-516a-2,mir-516a-1
miR-519a-2-5p	mir-519a-2
miR-499a-5p	mir-499a
miR-499a-3p	mir-499a
miR-500a-5p	mir-500a
miR-500a-3p	mir-500a
miR-501-5p	mir-501
miR-501-3p	mir-501
miR-502-5p	mir-502
miR-502-3p	mir-502
miR-450a-2-3p	mir-450a-2
miR-503-5p	mir-503
miR-503-3p	mir-503
miR-504-5p	mir-504
miR-504-3p	mir-504
miR-505-5p	mir-505
miR-505-3p	mir-505
miR-513a-5p	mir-513a-2,mir-513a-1
miR-513a-3p	mir-513a-2,mir-513a-1
miR-506-5p	mir-506
miR-506-3p	mir-506
miR-508-5p	mir-508
miR-508-3p	mir-508
miR-509-5p	mir-509-1,mir-509-2
miR-509-3p	mir-509-1,mir-509-3,mir-509-2
miR-510-5p	mir-510
miR-510-3p	mir-510
miR-514a-5p	mir-514a-3,mir-514a-1,mir-514a-2
